Salary,player_id,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,game_id,K_prcnt,position,RotoName,Roster Position
5400.0,607074,2015-04-21,1,0,1.0,4,2,2,1,0,0,1,3,0,3,0,8,0,0,.---,60,2.1,0,0,0,0,0,0,2,13,7,1,0,0,60.0,31.0,29,0.0,0,0,0,0,4,0,7.71,0.00,2,2,0,1,1,0,carlos rodon,Pitcher,CWS,home,CLE,-1,0.0,0.9250000000000008,L,,7,7,0,9.0,6,2015,413848,0.0769230769230769,RP,carlrodon,RP
5400.0,607074,2015-04-29,1,0,1.0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,.---,5,1.0,0,0,0,0,0,0,0,3,3,1,0,0,5.0,,5,0.0,0,0,0,0,0,1,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,BAL,-1,0.0,4.25,L,,7,11,0,8.0,7,2015,413960,0.3333333333333333,,carlrodon,RP
5400.0,607074,2015-05-02,1,0,4.0,2,5,0,1,0,0,2,1,0,6,0,14,0,0,.---,63,3.0,0,0,0,0,0,0,0,16,9,1,0,0,63.0,22.0,41,0.0,0,0,0,0,2,0,0.00,0.00,2,2,0,0,1,0,carlos rodon,Pitcher,CWS,away,MIN,-1,0.0,7.15,L,,4,11,0,8.0,5,2015,413999,0.125,RP,carlrodon,RP
5400.0,607074,2015-05-08,1,1,2.0,4,4,2,0,0,0,8,4,0,4,0,20,0,1,1.000,108,6.0,1,0,0,0,0,0,2,24,18,1,0,0,108.0,41.0,67,0.0,0,0,0,0,2,0,3.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,CIN,-1,0.0,27.1,L,"(W, 1-0)",11,6,0,9.0,2,2015,414083,0.3333333333333333,RP,carlrodon,RP
6700.0,607074,2015-05-09,1,1,2.0,4,4,2,0,0,0,8,4,0,4,0,20,0,1,1.000,108,6.0,1,0,0,0,0,0,2,24,18,1,0,0,108.0,41.0,67,0.0,0,0,0,0,2,0,3.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,CIN,-1,0.0,27.1,L,"(W, 1-0)",11,6,0,9.0,2,2015,414083,0.3333333333333333,SP,carlrodon,SP
5600.0,607074,2015-05-15,1,1,2.0,3,5,5,0,1,1,5,6,0,5,0,18,0,0,.---,96,4.0,0,0,0,0,0,0,5,24,12,1,0,0,96.0,44.0,52,0.0,0,0,1,0,4,0,11.25,2.25,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,OAK,-1,0.0,6.0,L,,7,12,0,9.0,6,2015,414179,0.2083333333333333,SP,carlrodon,SP
6400.0,607074,2015-05-20,1,1,4.0,5,7,1,0,0,0,4,5,0,4,0,19,0,3,1.000,103,6.0,0,0,0,0,0,0,1,25,18,1,0,0,103.0,47.0,56,0.0,0,0,0,0,1,0,1.50,0.00,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,home,CLE,-1,0.0,17.1,L,,8,6,0,9.0,4,2015,414246,0.16,SP,carlrodon,SP
5200.0,607074,2015-05-29,1,1,3.0,8,6,3,2,0,0,4,0,0,8,0,25,0,0,.---,92,6.1,0,0,0,0,0,0,1,26,19,1,0,0,92.0,34.0,58,0.0,0,0,0,0,2,0,4.26,0.00,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,away,HOU,-1,0.0,14.925,L,,11,10,0,11.0,1,2015,414368,0.1538461538461538,SP,carlrodon,SP
5600.0,607074,2015-06-04,1,1,4.0,3,5,1,1,0,0,10,3,0,5,0,23,0,1,1.000,108,6.0,0,0,0,0,0,0,1,26,18,1,0,0,108.0,42.0,66,0.0,0,0,0,0,1,0,1.50,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,TEX,-1,0.0,28.5,L,,13,12,0,10.1,2,2015,414452,0.3846153846153846,,carlrodon,SP
5700.0,607074,2015-06-09,1,1,1.0,6,7,0,1,0,0,5,2,0,4,1,22,0,1,1.000,116,6.0,1,0,0,0,0,0,0,25,18,1,0,0,116.0,38.0,78,0.0,1,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,HOU,-1,0.0,24.5,L,"(W, 2-0)",8,7,1,9.0,2,2015,414518,0.2,SP,carlrodon,SP
