Name,Team,W,ERA,IP,SO,WHIP
Sandy Alcantara,MIA,12,3.29476,201,188,1.12569
Aaron Nola,PHI,13,3.51949,194,217,1.0658
Gerrit Cole,NYY,15,3.28279,194,243,1.04322
Shane Bieber,CLE,14,3.3624,192,198,1.10969
Corbin Burnes,MIL,13,3.0735,191,233,1.05246
Luis Castillo,SEA,13,3.29526,190,201,1.16614
Logan Webb,SFG,13,3.59194,190,163,1.22448
Framber Valdez,HOU,14,3.30218,190,178,1.23496
Alek Manoah,TOR,13,3.65632,190,183,1.14011
Max Fried,ATL,14,3.25654,183,167,1.14851
Robbie Ray,SEA,12,3.78215,183,211,1.18312
Germán Márquez,COL,10,4.69012,183,159,1.35566
Miles Mikolas,STL,11,3.93112,183,136,1.19512
Yu Darvish,SDP,12,3.78622,182,189,1.11946
Merrill Kelly,ARI,10,4.12082,182,156,1.25906
Zack Wheeler,PHI,13,3.39137,181,183,1.12394
Dylan Cease,CHW,13,3.51894,180,217,1.21321
Triston McKenzie,CLE,11,3.8819,180,185,1.14276
Julio Urías,LAD,14,3.63376,179,173,1.13831
Brady Singer,KCR,10,3.86741,179,166,1.25114
Logan Gilbert,SEA,11,3.80248,178,172,1.1838
Kevin Gausman,TOR,13,3.41634,177,197,1.10519
Zac Gallen,ARI,11,3.53575,176,187,1.14897
Chris Bassitt,TOR,12,3.86466,176,156,1.19759
Marco Gonzales,SEA,10,4.40359,175,114,1.30506
Kyle Wright,ATL,13,3.89291,174,161,1.25669
Brandon Woodruff,MIL,12,3.32029,173,200,1.08731
Adam Wainwright,STL,11,4.16909,173,126,1.30998
Shane McClanahan,TBR,12,3.13275,172,194,1.09055
Jordan Montgomery,STL,10,3.69089,172,155,1.19227
Lucas Giolito,CHW,11,3.96879,172,185,1.22903
Cristian Javier,HOU,13,3.61322,171,205,1.1187
Tyler Anderson,LAA,10,4.13111,171,135,1.23724
Martín Pérez,TEX,10,3.98942,171,141,1.34164
José Berríos,TOR,11,4.23624,170,155,1.23678
Kyle Freeland,COL,8,5.04071,170,125,1.44641
Cole Irvin,BAL,9,4.47982,169,120,1.28723
Justin Verlander,NYM,13,3.20605,168,186,1.03866
Cal Quantrill,CLE,10,4.22226,168,123,1.28396
Nick Pivetta,BOS,10,4.64602,168,162,1.35895
Shohei Ohtani,LAA,13,3.12468,167,208,1.09126
Marcus Stroman,CHC,9,3.88105,167,138,1.25271
Charlie Morton,ATL,10,3.8467,166,186,1.20988
Pablo López,MIN,10,3.76969,166,164,1.19308
Jameson Taillon,CHC,9,4.30113,166,140,1.23624
Jordan Lyles,KCR,8,4.96464,166,121,1.40141
Max Scherzer,NYM,12,3.13421,165,199,1.023
Lance Lynn,CHW,10,3.83631,164,162,1.17239
Kyle Gibson,BAL,9,4.35415,164,135,1.34344
Ranger Suárez,PHI,11,3.8488,163,135,1.31608
Joe Ryan,MIN,12,3.98141,162,164,1.15693
Drew Rasmussen,TBR,10,3.59546,161,144,1.1834
Reid Detmers,LAA,10,3.98617,161,163,1.24802
Hunter Greene,CIN,9,3.74648,160,200,1.17032
Jon Gray,TEX,9,4.0276,160,162,1.23789
Spencer Strider,ATL,13,3.16372,159,216,1.08458
Nick Lodolo,CIN,8,3.78231,159,185,1.21319
Patrick Sandoval,LAA,9,3.67961,159,160,1.28722
Luis Garcia,HOU,12,3.95498,159,159,1.1993
José Urquidy,HOU,10,4.35975,158,132,1.2105
Josiah Gray,WSN,7,4.85783,158,157,1.32881
George Kirby,SEA,10,3.44658,156,154,1.15591
Mitch Keller,PIT,7,4.38351,156,138,1.39238
Sean Manaea,SFG,9,4.10768,156,149,1.27127
JT Brubaker,PIT,7,4.47236,156,148,1.33942
Alex Cobb,SFG,9,3.52797,155,151,1.2491
Taijuan Walker,PHI,10,4.37759,155,128,1.28444
Nestor Cortes,NYY,10,3.73202,154,159,1.13291
Eduardo Rodriguez,DET,9,4.04716,154,140,1.29217
Tyler Mahle,MIN,9,4.02997,153,153,1.23896
Eric Lauer,MIL,9,4.15153,153,147,1.27989
Paul Blackburn,OAK,7,4.27967,153,112,1.31727
Joe Musgrove,SDP,9,3.49844,151,151,1.13418
Nathan Eovaldi,TEX,9,3.86119,150,141,1.19231
Corey Kluber,BOS,9,4.5159,149,124,1.29873
Johnny Cueto,MIA,7,4.35307,149,104,1.33065
Roansy Contreras,PIT,7,4.19764,148,137,1.28416
Luis Severino,NYY,10,3.53211,147,158,1.12594
Jesús Luzardo,MIA,8,3.82679,147,159,1.23708
Kodai Senga,NYM,10,3.74512,147,159,1.23538
Graham Ashcraft,CIN,7,4.39623,147,110,1.40045
Madison Bumgarner,ARI,6,4.96416,147,109,1.36433
Jeffrey Springs,TBR,10,3.69062,146,150,1.17965
Justin Steele,CHC,8,3.76786,144,142,1.29659
Carlos Carrasco,NYM,10,4.05591,144,138,1.27308
Patrick Corbin,WSN,7,4.93078,144,117,1.44244
Zach Eflin,TBR,8,3.92493,143,123,1.18959
Tony Gonsolin,LAD,11,3.83042,143,137,1.20399
James Kaprielian,OAK,6,4.62292,143,115,1.34986
Sonny Gray,MIN,9,3.81401,142,140,1.23198
Noah Syndergaard,LAD,10,4.45614,141,106,1.28105
Jacob deGrom,TEX,10,2.93546,140,188,0.954606
Blake Snell,SDP,10,3.54996,140,175,1.20411
Carlos Rodón,NYY,11,3.17586,138,175,1.06448
Ross Stripling,SFG,8,4.07913,138,117,1.24254
Kyle Bradish,BAL,7,4.21369,138,127,1.30165
Dean Kremer,BAL,7,4.32361,137,107,1.31347
Michael Kopech,CHW,7,4.31087,137,136,1.30417
José Suarez,LAA,8,4.35121,135,119,1.30023
Michael Wacha,SDP,8,4.28504,135,115,1.26065
Antonio Senzatela,COL,6,4.96981,134,80,1.46772
Zach Plesac,CLE,7,4.40516,134,100,1.2714
Andrew Heaney,TEX,8,3.91741,133,160,1.14437
Ken Waldichuk,OAK,7,4.00971,133,130,1.25952
Chris Sale,BOS,9,3.66058,132,152,1.17534
Trevor Rogers,MIA,7,4.0315,132,136,1.28018
Matt Manning,DET,6,4.51866,132,98,1.34693
Michael Lorenzen,DET,7,4.29767,132,108,1.35829
Freddy Peralta,MIL,9,3.70203,131,148,1.16087
Jack Flaherty,STL,9,4.01545,131,125,1.26007
Aaron Civale,CLE,9,4.21188,130,118,1.20927
Matthew Boyd,DET,6,4.27242,130,119,1.27641
Zach Davies,ARI,6,4.70228,127,96,1.41207
Shintaro Fujinami,OAK,6,4.38905,126,118,1.472
Dustin May,LAD,9,3.61064,125,131,1.15792
Clayton Kershaw,LAD,10,3.34464,124,131,1.09869
Alex Wood,SFG,8,3.78074,124,122,1.20304
Domingo Germán,NYY,7,4.30358,122,106,1.23408
Zack Greinke,KCR,6,4.38458,122,76,1.3036
Steven Matz,STL,8,3.8723,119,114,1.22491
Trevor Williams,WSN,5,4.71427,119,98,1.33619
Grayson Rodriguez,BAL,8,3.77882,118,125,1.17066
Kenta Maeda,MIN,8,4.06684,118,115,1.19826
Nick Martinez,SDP,6,4.0757,118,103,1.33008
Garrett Whitlock,BOS,7,3.90711,117,113,1.21053
Edward Cabrera,MIA,7,4.01712,117,122,1.29341
Drew Smyly,CHC,7,4.35171,116,105,1.28954
José Ureña,COL,4,5.52444,116,76,1.59687
José Quintana,NYM,7,3.79094,115,106,1.30038
Spencer Turnbull,DET,6,4.01184,114,99,1.29565
Brad Keller,KCR,6,4.47261,114,87,1.43312
MacKenzie Gore,WSN,6,4.44468,113,109,1.39662
Drew Rucinski,OAK,5,4.18673,113,99,1.29958
Hunter Brown,HOU,7,3.49342,112,117,1.26556
Cade Cavalli,WSN,6,4.54269,112,107,1.3515
Austin Gomber,COL,6,5.01177,112,92,1.38962
James Paxton,BOS,7,4.30982,109,111,1.25997
Wade Miley,MIL,6,4.11802,109,78,1.37046
Ryan Yarbrough,KCR,5,4.8417,109,72,1.35111
Tyler Glasnow,TBR,7,3.30393,108,136,1.09992
Yusei Kikuchi,TOR,6,4.26505,108,114,1.33976
Vince Velasquez,PIT,5,4.73712,108,99,1.38587
Luis Cessa,CIN,5,4.64058,106,82,1.38841
Braxton Garrett,MIA,5,4.11342,104,96,1.30857
Anthony DeSclafani,SFG,6,4.31476,104,87,1.30238
Brayan Bello,BOS,6,4.0394,103,99,1.32405
David Peterson,NYM,6,3.68851,102,115,1.2728
Tyler Wells,BAL,5,4.40205,101,86,1.24439
Lance McCullers Jr.,HOU,7,3.67748,100,101,1.27343
Kyle Hendricks,CHC,6,4.56978,100,72,1.29972
Mike Clevinger,CHW,6,4.50694,100,85,1.27593
