Name,Team,W,ERA,IP,SO,WHIP
Sandy Alcantara,MIA,13,3.56758,211,200,1.20187
Shane Bieber,CLE,13,3.47118,203,210,1.15995
Aaron Nola,PHI,13,3.49688,199,217,1.11782
Alek Manoah,TOR,12,4.05504,199,195,1.22548
Corbin Burnes,MIL,13,3.14651,197,240,1.09462
Gerrit Cole,NYY,14,3.21759,197,248,1.06012
Merrill Kelly,ARI,11,4.28224,197,169,1.3223
Framber Valdez,HOU,14,3.24935,196,184,1.274
Luis Castillo,SEA,13,3.33419,195,205,1.19413
Logan Webb,SFG,12,3.75289,193,167,1.28996
Germán Márquez,COL,10,4.91332,193,168,1.4476
Yu Darvish,SDP,13,3.87799,192,199,1.14698
Max Scherzer,NYM,13,3.32251,191,228,1.04867
Robbie Ray,SEA,12,3.76935,191,219,1.18827
Miles Mikolas,STL,11,4.09055,191,144,1.26539
Max Fried,ATL,13,3.58155,190,173,1.23366
Julio Urías,LAD,12,4.03991,190,183,1.2281
Zack Wheeler,PHI,13,3.45065,189,189,1.15767
Dylan Cease,CHW,12,3.74048,188,227,1.2245
Tyler Anderson,LAA,11,4.46806,185,146,1.30022
Shane McClanahan,TBR,13,3.00357,184,214,1.10226
Brady Singer,KCR,11,3.84189,184,170,1.27757
Kyle Wright,ATL,12,3.93934,184,171,1.31087
Triston McKenzie,CLE,11,4.10095,184,192,1.22594
Martín Pérez,TEX,10,4.15902,184,153,1.37509
Lance Lynn,CHW,11,3.91824,183,177,1.19076
Zac Gallen,ARI,11,3.77542,182,195,1.23161
Kevin Gausman,TOR,13,3.47765,181,196,1.10295
Justin Verlander,NYM,12,3.35644,180,202,1.06426
Chris Bassitt,TOR,12,4.01945,180,159,1.24513
Marcus Stroman,CHC,10,4.00062,178,145,1.30777
Jameson Taillon,CHC,10,4.37867,178,151,1.27465
Nick Pivetta,BOS,10,4.70532,178,168,1.38553
Kyle Freeland,COL,8,5.463,178,130,1.51339
Nick Lodolo,CIN,10,3.67543,176,206,1.21123
Jordan Montgomery,STL,12,3.66344,176,156,1.22125
Logan Gilbert,SEA,11,3.82858,176,174,1.18885
José Berríos,TOR,11,4.16237,176,159,1.25062
Lucas Giolito,CHW,11,4.13925,176,180,1.2648
Jon Gray,TEX,10,3.95088,174,177,1.26278
Shohei Ohtani,LAA,12,3.19552,173,217,1.10357
Brandon Woodruff,MIL,11,3.47587,173,198,1.13324
Drew Rasmussen,TBR,11,3.82271,173,156,1.24616
Jacob deGrom,TEX,12,2.66425,172,235,0.957379
Clayton Kershaw,LAD,12,3.52336,172,180,1.15791
Kyle Gibson,BAL,10,4.22446,172,141,1.34868
Pablo López,MIN,11,3.81529,171,170,1.23326
Nestor Cortes,NYY,11,3.94729,170,179,1.20007
Josiah Gray,WSN,8,4.86664,170,171,1.37192
Eduardo Rodriguez,DET,9,3.96311,169,151,1.30059
Cal Quantrill,CLE,9,4.609,169,127,1.34759
Jordan Lyles,KCR,8,4.98471,169,121,1.425
Cole Irvin,BAL,9,4.54258,169,119,1.3166
Hunter Greene,CIN,10,3.97912,168,212,1.21354
Cristian Javier,HOU,11,3.99209,168,203,1.22085
Adam Wainwright,STL,10,4.34875,167,121,1.35488
Marco Gonzales,SEA,9,4.61058,167,112,1.35435
Alex Cobb,SFG,11,3.45944,166,162,1.24856
Charlie Morton,ATL,11,3.8053,166,180,1.23588
Patrick Sandoval,LAA,11,3.77522,166,166,1.29998
Joe Ryan,MIN,10,4.19041,166,172,1.22201
Tyler Mahle,MIN,10,4.21939,166,162,1.29002
Shintaro Fujinami,OAK,8,4.42895,166,156,1.41952
Ranger Suárez,PHI,10,3.90733,165,140,1.35794
Mitch Keller,PIT,9,4.37667,164,141,1.3899
Blake Snell,SDP,12,3.39419,163,198,1.18545
JT Brubaker,PIT,9,4.30058,163,150,1.33614
Patrick Corbin,WSN,9,4.45133,163,132,1.36049
Joe Musgrove,SDP,11,3.72253,162,158,1.18887
Taijuan Walker,PHI,9,4.4805,161,131,1.34643
Paul Blackburn,OAK,8,4.27404,160,117,1.34311
Carlos Rodón,NYY,11,3.16477,159,205,1.06052
Graham Ashcraft,CIN,8,4.50389,159,124,1.42242
Luis Garcia,HOU,10,4.12067,157,157,1.25514
Noah Syndergaard,LAD,9,4.82921,157,116,1.35171
José Urquidy,HOU,9,4.5975,157,131,1.27686
Johnny Cueto,MIA,8,4.60906,157,108,1.3656
Kodai Senga,NYM,10,3.72298,156,177,1.25818
Sean Manaea,SFG,9,4.04786,156,146,1.26261
Corey Kluber,BOS,9,4.67466,156,124,1.31264
Eric Lauer,MIL,9,4.30159,156,151,1.32393
Nathan Eovaldi,TEX,9,3.94316,155,139,1.21778
Drew Rucinski,OAK,8,4.12074,155,134,1.25933
Spencer Strider,ATL,12,3.09865,154,207,1.12214
Luis Severino,NYY,10,3.59731,154,170,1.18356
Michael Wacha,SDP,10,4.301,154,129,1.28453
Jeffrey Springs,TBR,10,3.74255,153,152,1.21654
Roansy Contreras,PIT,9,4.30778,153,144,1.3356
Matthew Boyd,DET,8,4.21953,153,140,1.27
Mike Clevinger,CHW,9,4.57869,151,132,1.3011
Reid Detmers,LAA,9,4.22531,150,154,1.288
José Quintana,NYM,10,3.80288,150,137,1.28838
Carlos Carrasco,NYM,10,3.94889,150,140,1.25931
Kenta Maeda,MIN,9,4.13033,150,140,1.26197
Sonny Gray,MIN,9,4.01196,148,143,1.30123
Ross Stripling,SFG,8,4.23279,148,123,1.27549
Chris Sale,BOS,10,3.46123,147,172,1.14702
Michael Kopech,CHW,8,4.60923,147,147,1.36153
Jesús Luzardo,MIA,9,3.86135,146,155,1.28241
Zach Eflin,TBR,9,4.04773,146,123,1.24365
Kyle Bradish,BAL,9,4.11591,146,136,1.31541
Antonio Senzatela,COL,7,5.40637,145,88,1.52093
Madison Bumgarner,ARI,7,4.94736,145,109,1.3835
