Name,Team,W,ERA,IP,SO,WHIP
Sandy Alcantara,MIA,14,3.33648,201,187,1.11472
Aaron Nola,PHI,15,3.36004,194,211,1.06227
Gerrit Cole,NYY,15,3.49331,194,235,1.07878
Shane Bieber,CLE,13,3.67498,192,186,1.1729
Corbin Burnes,MIL,14,3.36905,191,222,1.10607
Luis Castillo,SEA,13,3.42013,191,194,1.18518
Logan Webb,SFG,13,3.8104,190,155,1.29064
Framber Valdez,HOU,14,3.40647,190,179,1.28636
Alek Manoah,TOR,13,3.66584,190,176,1.14462
Max Fried,ATL,14,3.486,183,165,1.17196
Robbie Ray,SEA,12,4.19258,183,205,1.20524
Miles Mikolas,STL,12,4.41533,183,131,1.28022
Germán Márquez,COL,9,5.21937,183,152,1.47297
Yu Darvish,SDP,13,4.05966,182,181,1.16075
Merrill Kelly,ARI,10,4.58462,182,151,1.32158
Zack Wheeler,PHI,13,3.45257,181,176,1.15597
Dylan Cease,CHW,12,3.85528,180,211,1.2229
Triston McKenzie,CLE,12,4.01864,180,181,1.18551
Julio Urías,LAD,13,3.47437,179,173,1.0791
Logan Gilbert,SEA,11,4.08007,179,168,1.20295
Brady Singer,KCR,11,4.13291,179,161,1.30853
Kevin Gausman,TOR,13,3.76351,177,195,1.13743
Zac Gallen,ARI,12,3.71818,176,181,1.19388
Chris Bassitt,TOR,12,4.10275,176,150,1.2191
Marco Gonzales,SEA,10,4.83013,175,107,1.35559
Kyle Wright,ATL,12,4.09335,174,156,1.2877
Brandon Woodruff,MIL,12,3.59743,173,194,1.13363
Adam Wainwright,STL,11,4.66832,173,123,1.35581
Shane McClanahan,TBR,12,3.33649,172,194,1.13447
Jordan Montgomery,STL,12,3.98772,172,150,1.2558
Lucas Giolito,CHW,11,4.34663,172,167,1.26482
Cristian Javier,HOU,13,3.69241,171,210,1.15281
Tyler Anderson,LAA,10,4.24897,171,140,1.21733
Martín Pérez,TEX,11,4.26826,171,139,1.32532
José Berríos,TOR,11,4.22568,170,146,1.22101
Kyle Freeland,COL,8,5.47156,170,119,1.49914
Cole Irvin,BAL,9,4.62605,169,122,1.31983
Spencer Strider,ATL,13,3.07995,168,228,1.10853
Justin Verlander,NYM,12,3.26199,168,193,1.02691
Cal Quantrill,CLE,11,4.578,168,113,1.31732
Nick Pivetta,BOS,10,5.00057,168,155,1.41172
Shohei Ohtani,LAA,13,3.18646,167,204,1.09389
Marcus Stroman,CHC,10,4.06811,167,134,1.29383
Pablo López,MIN,11,3.8682,166,159,1.2064
Charlie Morton,ATL,13,3.99392,166,185,1.24683
Jameson Taillon,CHC,9,4.49312,166,137,1.28258
Jordan Lyles,KCR,9,5.27929,166,111,1.42459
Max Scherzer,NYM,12,3.35071,165,198,1.03416
Lance Lynn,CHW,10,4.16924,164,157,1.21169
Kyle Gibson,BAL,10,4.56597,164,129,1.37921
Tyler Mahle,MIN,10,4.15988,163,155,1.26352
Ranger Suárez,PHI,12,4.14906,163,123,1.36092
Joe Ryan,MIN,11,3.99887,162,162,1.15363
Jon Gray,TEX,10,4.18023,162,160,1.26526
Drew Rasmussen,TBR,11,3.81044,161,140,1.20074
Reid Detmers,LAA,11,4.56238,161,160,1.31366
Hunter Greene,CIN,10,4.42069,160,189,1.27435
José Urquidy,HOU,10,4.39994,160,132,1.22107
Nick Lodolo,CIN,10,4.01262,159,178,1.26839
Patrick Sandoval,LAA,11,3.92809,159,156,1.31276
Luis Garcia,HOU,11,4.10482,159,162,1.20743
Josiah Gray,WSN,8,4.59407,158,150,1.29345
George Kirby,SEA,10,3.68997,157,143,1.13965
Sean Manaea,SFG,10,4.45968,156,142,1.30711
JT Brubaker,PIT,9,4.53712,156,142,1.3556
Mitch Keller,PIT,9,4.82112,156,130,1.47824
Alex Cobb,SFG,10,3.96906,155,147,1.33788
Taijuan Walker,PHI,11,4.42694,155,124,1.30714
Nestor Cortes,NYY,11,3.76392,154,157,1.13122
Nathan Eovaldi,TEX,9,4.09995,154,140,1.18716
Eduardo Rodriguez,DET,9,4.18609,154,130,1.30012
Paul Blackburn,OAK,8,4.53432,153,108,1.32219
Eric Lauer,MIL,10,4.7064,153,143,1.35912
Joe Musgrove,SDP,11,3.87924,151,142,1.18429
Graham Ashcraft,CIN,8,4.61001,151,103,1.42503
Madison Bumgarner,ARI,7,5.64979,150,104,1.45477
Luis Severino,NYY,10,3.71981,149,156,1.19934
Blake Snell,SDP,10,4.00003,149,183,1.2731
Roansy Contreras,PIT,8,4.28987,149,134,1.29311
Corey Kluber,BOS,8,4.75978,149,116,1.32111
Johnny Cueto,MIA,8,4.87003,149,98,1.36122
Jesús Luzardo,MIA,9,4.12978,148,163,1.31175
Kodai Senga,NYM,8,4.55362,147,143,1.37007
Jeffrey Springs,TBR,10,3.99012,146,147,1.20135
Zach Eflin,TBR,9,3.98012,146,117,1.18839
Carlos Carrasco,NYM,9,4.50016,145,137,1.31269
Patrick Corbin,WSN,6,5.26991,145,110,1.45528
Justin Steele,CHC,9,4.27873,144,135,1.37992
Tony Gonsolin,LAD,11,4.20003,143,137,1.25882
James Kaprielian,OAK,7,4.91524,143,110,1.36891
Carlos Rodón,NYY,10,3.23022,142,178,1.05488
Sonny Gray,MIN,9,3.92866,142,137,1.24951
Jack Flaherty,STL,9,4.30993,142,128,1.29888
Noah Syndergaard,LAD,9,4.95304,141,101,1.32497
Jacob deGrom,TEX,11,2.7502,140,195,0.921481
Andrew Heaney,TEX,9,3.87025,139,169,1.15678
Ross Stripling,SFG,8,4.37307,138,115,1.2901
Kyle Bradish,BAL,9,4.45298,138,127,1.35559
Dean Kremer,BAL,8,4.69334,137,107,1.35825
Michael Kopech,CHW,8,4.61179,137,128,1.31878
Michael Wacha,SDP,9,4.51017,135,114,1.28215
José Suarez,LAA,9,4.67407,135,118,1.34457
Freddy Peralta,MIL,9,3.87003,134,142,1.20491
Zach Plesac,CLE,9,4.52585,134,93,1.28083
Antonio Senzatela,COL,7,5.46654,134,74,1.5168
Ken Waldichuk,OAK,7,4.17088,133,131,1.27694
Chris Sale,BOS,9,4.02065,132,142,1.2239
Trevor Rogers,MIA,9,4.46204,132,132,1.34013
Matt Manning,DET,7,4.80111,132,96,1.38623
Michael Lorenzen,DET,7,4.66418,132,102,1.40837
Aaron Civale,CLE,9,4.28322,130,111,1.23856
Matthew Boyd,DET,7,4.58375,130,113,1.29748
Zach Davies,ARI,7,5.24163,127,91,1.49385
Shintaro Fujinami,OAK,5,5.01286,126,112,1.49434
Dustin May,LAD,9,3.80314,125,122,1.22152
Clayton Kershaw,LAD,9,3.26359,124,137,1.05927
Alex Wood,SFG,8,4.12807,124,120,1.30788
Edward Cabrera,MIA,7,4.37984,124,129,1.34472
Domingo Germán,NYY,8,4.2424,122,105,1.20363
Zack Greinke,KCR,6,4.94434,122,70,1.37845
Steven Matz,STL,9,4.13612,119,110,1.26447
Trevor Williams,WSN,6,4.62062,119,96,1.30716
Grayson Rodriguez,BAL,8,3.6597,118,126,1.20147
Kenta Maeda,MIN,8,4.0861,118,114,1.21872
Nick Martinez,SDP,6,5.08496,118,92,1.42494
Garrett Whitlock,BOS,7,4.01878,117,111,1.23255
Drew Smyly,CHC,7,4.75926,116,105,1.32873
José Ureña,COL,5,6.0046,116,69,1.64344
Tyler Glasnow,TBR,8,3.32978,115,150,1.08995
José Quintana,NYM,8,4.38186,115,100,1.35655
Spencer Turnbull,DET,7,4.3507,114,94,1.3374
MacKenzie Gore,WSN,5,4.66035,114,103,1.40059
Brad Keller,KCR,5,4.59479,114,80,1.45668
Wade Miley,MIL,6,4.81017,114,79,1.42844
Drew Rucinski,OAK,5,4.53055,113,96,1.30222
Hunter Brown,HOU,6,3.55604,112,118,1.25806
Cade Cavalli,WSN,6,4.45091,112,101,1.35484
Austin Gomber,COL,5,5.56601,112,87,1.49352
Ryan Yarbrough,KCR,6,4.78196,109,70,1.34652
James Paxton,BOS,7,4.81408,109,102,1.38052
Yusei Kikuchi,TOR,6,4.44996,108,114,1.34953
Vince Velasquez,PIT,5,4.991,108,99,1.41777
Luis Cessa,CIN,5,5.15799,106,75,1.44432
Lance McCullers Jr.,HOU,7,3.96022,104,101,1.32899
Braxton Garrett,MIA,6,4.42492,104,97,1.33164
Anthony DeSclafani,SFG,5,4.81159,104,79,1.38288
Brayan Bello,BOS,6,4.24483,103,93,1.37161
David Peterson,NYM,5,3.73159,102,111,1.31239
Daniel Lynch,KCR,5,5.13041,102,83,1.48636
Tyler Wells,BAL,5,4.03627,101,86,1.19255
Kyle Hendricks,CHC,5,4.79937,100,71,1.32855
Mike Clevinger,CHW,6,4.82279,100,83,1.31626
