Name,Team,W,ERA,G,GS,IP,SO,WHIP
Sandy Alcantara,MIA,12,3.31579,31,31,209,191,1.10048
Aaron Nola,PHI,13,3.53691,30,30,188.3,210,1.03558
Framber Valdez,HOU,14,3.25837,29,29,182.3,168,1.2068
Alek Manoah,TOR,13,3.43094,30,30,181,177,1.0663
Gerrit Cole,NYY,14,3.08948,29,29,177.7,224,1.03545
Dylan Cease,CHW,13,3.42614,31,31,176,217,1.1875
Shane Bieber,CLE,12,3.22159,28,28,176,192,1.07955
Joe Musgrove,SDP,10,3.17587,29,29,175.7,172,1.07001
Logan Gilbert,SEA,10,3.6577,30,30,174.7,164,1.20206
Corbin Burnes,MIL,12,2.99484,31,29,174.3,215,1.04991
Max Fried,ATL,15,3.02258,29,29,172.7,159,1.1465
Luis Castillo,SEA,11,2.98777,29,29,171.7,177,1.10658
Logan Webb,SFG,13,3.34908,29,28,169.3,157,1.18724
Robbie Ray,SEA,11,3.81949,29,29,167.3,195,1.20741
Yu Darvish,SDP,11,3.82635,27,27,167,168,1.07186
Germán Márquez,COL,10,4.31914,28,28,166.7,147,1.28374
José Berríos,TOR,9,4.38364,29,29,166.3,152,1.22069
Zac Gallen,ARI,9,3.42185,29,29,165.7,176,1.12251
Justin Verlander,NYM,14,2.83636,27,27,165,177,0.963636
Julio Urías,LAD,15,3.18876,30,28,163.7,158,1.05681
Kevin Gausman,TOR,12,3.65989,29,28,162.3,184,1.13986
Triston McKenzie,CLE,11,3.61111,26,25,162,161,1.08642
Chris Bassitt,TOR,12,3.62678,27,27,161.3,146,1.13453
Cal Quantrill,CLE,9,4.08075,31,27,161,119,1.25466
Carlos Rodón,NYY,14,3.03182,28,28,160.3,207,1.03556
Merrill Kelly,ARI,9,4.267,27,27,160.3,137,1.29133
Zack Wheeler,PHI,12,3.36868,26,26,160.3,165,1.12913
Martín Pérez,TEX,8,4.13208,29,27,159,131,1.33962
Lucas Giolito,CHW,10,3.96975,27,27,158.7,172,1.18463
Brandon Woodruff,MIL,12,2.96203,28,28,158,184,1.05063
Cole Irvin,BAL,8,4.78481,28,27,158,115,1.31013
Jordan Montgomery,STL,8,3.37572,29,29,157.3,137,1.16974
Charlie Morton,ATL,9,3.67581,28,28,156.7,173,1.19974
Shane McClanahan,TBR,13,3.10941,27,27,156.3,180,1.06846
Pablo López,MIN,9,3.92308,28,28,156,159,1.17949
Shohei Ohtani,LAA,13,3,27,27,156,193,1.07051
Miles Mikolas,STL,11,3.75,27,26,156,116,1.1859
Marco Gonzales,SEA,10,4.39306,27,27,155.7,98,1.30379
Adam Wainwright,STL,10,3.95604,26,26,154.7,117,1.31222
Brandon Pfaadt,ARI,9,3.66382,26,26,152.3,153,1.12278
Nick Pivetta,BOS,9,4.63979,30,28,151.3,149,1.37475
Kyle Wright,ATL,13,3.80701,27,26,151.3,144,1.24917
Marcus Stroman,CHC,9,3.58328,28,28,150.7,128,1.25415
Joe Ryan,MIN,12,3.90782,28,28,149.7,151,1.1356
Tyler Anderson,LAA,8,4.16779,26,25,149,121,1.2349
Drew Rucinski,OAK,9,4.27699,26,26,147.3,146,1.39172
Jameson Taillon,CHC,8,4.0151,27,27,145.7,125,1.21483
Jordan Lyles,KCR,7,4.87989,26,26,145.7,113,1.407
Kyle Freeland,COL,7,4.95527,26,26,145.3,111,1.4384
Walker Buehler,LAD,10,3.28966,24,24,145,143,1.07586
Dakota Hudson,STL,9,3.98065,27,26,144.7,93,1.39599
Johnny Cueto,MIA,7,4.19624,25,24,143.7,96,1.36395
Brady Singer,KCR,7,3.95673,27,25,143.3,135,1.24913
Bryce Elder,ATL,9,3.97337,26,25,142.7,130,1.33146
Ranger Suárez,PHI,10,3.54181,32,24,142.3,120,1.27899
Max Scherzer,NYM,10,3.05732,24,24,141.3,172,1.01911
Matthew Liberatore,STL,10,3.82979,28,26,141,121,1.26241
Frankie Montas,NYY,10,3.96588,25,25,140.7,146,1.22246
Noah Syndergaard,LAD,11,3.71002,25,24,140.7,113,1.22957
José Urquidy,HOU,10,4.04134,26,25,140.3,122,1.1618
Kodai Senga,NYM,10,3.46401,22,22,140.3,142,1.07627
Mitch Keller,PIT,6,4.37143,28,26,140,127,1.4
Zack Greinke,KCR,7,4.18754,26,26,139.7,86,1.31711
Nestor Cortes,NYY,9,3.43165,29,23,139,142,1.1223
Taijuan Walker,PHI,8,4.4124,26,26,138.7,115,1.28335
Madison Bumgarner,ARI,7,4.93151,26,26,138.7,106,1.34102
Eric Lauer,MIL,8,4.02307,26,25,138.7,133,1.26893
Drey Jameson,ARI,10,4.04348,27,26,138,126,1.28261
Bryse Wilson,MIL,8,4.37909,27,23,137.7,105,1.27088
Tommy Henry,ARI,6,4.19519,27,27,137.3,119,1.38383
Patrick Corbin,WSN,8,5.11289,26,26,137.3,117,1.47123
Patrick Sandoval,LAA,8,3.54745,25,25,137,141,1.29927
George Kirby,SEA,8,3.55523,28,28,136.7,132,1.13387
Michael McGreevy,STL,7,4.21361,27,27,136.7,85,1.34601
Kyle Gibson,BAL,6,4.54279,26,25,136.7,116,1.37527
Luis Garcia,HOU,11,4.09391,26,24,136.3,134,1.2179
Dean Kremer,BAL,9,3.50735,25,24,136,104,1.22059
Ryne Nelson,ARI,7,4.04569,26,26,135.7,125,1.28224
Brayan Bello,BOS,12,3.99113,29,26,135.3,140,1.35255
Darren McCaughan,SEA,7,4.13333,25,24,135,104,1.19259
Zane Mills,STL,6,4.29851,25,25,134,69,1.35075
Sean Manaea,SFG,8,4.16418,25,24,134,135,1.30597
José Quintana,NYM,6,4.03889,28,26,133.7,123,1.3463
Tyler Mahle,MIN,8,3.78095,25,25,133.3,137,1.2003
Dane Dunning,TEX,5,4.72618,26,25,133.3,122,1.37284
Eduardo Rodriguez,DET,7,3.87755,25,25,132.3,131,1.31519
Zach Plesac,CLE,7,4.35374,24,24,132.3,102,1.23205
Cristian Javier,HOU,10,3.7415,31,22,132.3,166,1.16402
Chris Flexen,SEA,8,4.22727,30,22,132,97,1.34848
Lance Lynn,CHW,9,3.89522,23,23,131.7,132,1.1997
Drew Rasmussen,TBR,9,3.48837,31,26,129,120,1.15504
Ryan Feltner,COL,6,5.16279,27,26,129,114,1.43411
Louie Varland,MIN,8,4.18605,26,24,129,119,1.30233
Josiah Gray,WSN,6,4.60465,24,24,129,132,1.27132
Hunter Greene,CIN,9,3.91608,26,26,128.7,157,1.20435
Kris Bubic,KCR,6,4.54545,27,24,128.7,111,1.41414
Ian Anderson,ATL,9,4.13874,25,25,128.3,121,1.38737
Connor Thomas,STL,9,3.92829,25,22,128.3,87,1.27046
Victor Santos,BOS,7,4.86296,26,22,127.7,88,1.36257
Brad Keller,KCR,7,4.65153,28,21,127.7,98,1.43305
Jon Gray,TEX,8,3.95915,23,23,127.3,128,1.20974
Reid Detmers,LAA,6,4.11024,25,25,127,135,1.24409
Jonathan Heasley,KCR,6,4.68824,27,26,126.7,98,1.38122
James Paxton,BOS,10,4.04893,25,25,126.7,141,1.31807
Adrián Martínez,,8,4.20428,27,24,126.3,112,1.30641
Gordon Graceffo,STL,8,4.28571,25,25,126,87,1.24603
Jay Groome,SDP,7,4.15274,26,24,125.7,112,1.33652
Peyton Battenfield,CLE,5,4.36754,25,24,125.7,93,1.34447
Nathan Eovaldi,TEX,6,3.79475,24,23,125.7,123,1.17741
Graham Ashcraft,CIN,7,4.45331,25,25,125.3,100,1.41261
Corey Kluber,BOS,8,4.61909,25,25,124.7,114,1.34723
Blake Snell,SDP,10,3.60866,24,24,124.7,158,1.20289
Zach Davies,ARI,5,4.51091,25,25,123.7,93,1.40663
Kyle Muller,OAK,7,3.92886,25,24,123.7,128,1.28537
Sonny Gray,MIN,8,3.79562,25,25,123.3,122,1.21654
Sean Boyle,NYY,8,4.23358,25,21,123.3,108,1.20843
Bruce Zimmermann,BAL,5,4.81752,24,21,123.3,96,1.39497
Daniel Lynch,KCR,6,4.69438,26,26,122.7,110,1.43439
Collin Wiles,MIL,7,4.40098,25,21,122.7,86,1.30399
Roansy Contreras,PIT,5,4.04742,28,25,122.3,125,1.23467
Chris Murphy,BOS,7,4.85691,25,24,122.3,104,1.49632
Alex Cobb,SFG,7,3.60589,23,23,122.3,118,1.29191
Taylor Dollard,SEA,8,4.12101,24,23,122.3,101,1.23467
James Kaprielian,OAK,6,4.34178,24,23,122.3,102,1.33279
Spencer Strider,ATL,10,3.16435,30,21,122.3,168,1.11202
Trevor Rogers,MIA,6,4.21528,25,25,121.7,125,1.28184
JT Brubaker,PIT,5,4.52597,23,23,121.3,122,1.31904
Clayton Kershaw,LAD,10,3.26463,22,22,121.3,129,1.08821
Matt Frisbee,SFG,7,4.38843,23,22,121,92,1.34711
Taj Bradley,TBR,6,3.95195,27,27,120.7,108,1.22618
Logan Allen,CLE,7,4.18953,24,24,120.3,115,1.26351
Brandon Knarr,MIL,7,4.6384,23,22,120.3,105,1.42976
Robert Gasser,MIL,8,4.275,25,25,120,119,1.34167
Bryce Miller,SEA,5,3.83459,25,24,119.7,113,1.21972
Anthony DeSclafani,SFG,8,3.83459,23,23,119.7,102,1.25313
Zach Logue,,5,5.03759,26,22,119.7,88,1.41186
Austin Cox,KCR,5,4.66165,24,20,119.7,74,1.48705
Will Warren,NYY,9,4.37552,25,25,119.3,92,1.34116
Glenn Otto,TEX,6,4.92839,25,24,118.7,108,1.38163
Justin Jarvis,MIL,7,4.95763,26,26,118,101,1.5339
Mike Minor,,7,4.95763,22,22,118,103,1.42373
Kyle Leahy,STL,6,4.6644,24,20,117.7,83,1.49533
Michael Plassmeyer,PHI,7,4.60358,25,22,117.3,102,1.3214
Davis Martin,CHW,7,4.69231,28,24,117,105,1.33333
Kyle Bradish,BAL,5,4.69231,25,24,117,116,1.40171
Tanner Bibee,CLE,7,4.30769,23,23,117,101,1.23077
Deyni Olivero,ARI,6,4.85861,24,24,116.7,72,1.43959
John Parke,CHW,5,5.24422,24,22,116.7,68,1.45673
Hyun Jin Ryu,TOR,9,3.93316,21,21,116.7,93,1.23393
Xzavion Curry,CLE,6,4.39589,24,21,116.7,101,1.28535
Ryan Weathers,SDP,5,4.70437,29,20,116.7,79,1.40531
Dylan Bundy,,6,4.56578,24,23,116.3,90,1.27257
Chad Kuhl,,6,5.41702,25,22,116.3,99,1.49613
Jeffrey Springs,TBR,8,3.40499,34,21,116.3,130,1.16079
Brian Van Belle,BOS,6,4.72055,24,21,116.3,75,1.35856
Devin Smeltzer,,5,4.33362,28,20,116.3,80,1.28977
Javier Assad,CHC,5,4.73276,27,24,116,94,1.43966
Mason Montgomery,TBR,5,3.88937,26,26,115.7,113,1.27917
Drew Rom,BAL,5,4.20052,25,24,115.7,107,1.33967
Karl Kauffmann,COL,6,5.60069,24,24,115.7,84,1.69404
Tarik Skubal,DET,6,4.20052,23,22,115.7,121,1.22731
Josh Winckowski,BOS,7,4.91761,24,23,115.3,84,1.4484
Jared Koenig,,6,4.44926,24,19,115.3,88,1.38768
Ricardo Sánchez,,5,4.38261,24,24,115,83,1.37391
Rich Hill,PIT,5,4.77391,24,24,115,98,1.34783
Antonio Senzatela,COL,5,4.93043,22,22,115,68,1.46957
Tanner Tully,NYY,7,4.61739,24,19,115,75,1.35652
Matthew Kent,,5,4.94333,24,19,114.7,59,1.49085
Slade Cecconi,ARI,6,4.25197,23,22,114.3,90,1.29484
José Suarez,LAA,8,4.09449,25,20,114.3,106,1.26859
Mike Clevinger,CHW,6,4.57895,24,23,114,103,1.31579
Ross Stripling,SFG,7,3.87863,29,22,113.7,100,1.24011
Kyle Hendricks,CHC,6,4.43272,20,20,113.7,85,1.29288
Coleman Crow,LAA,5,4.74934,22,20,113.7,87,1.41601
Cole Winn,,6,5.09735,26,26,113,99,1.57522
Johan Oviedo,PIT,5,4.46018,36,22,113,106,1.35398
Ty Madden,DET,5,4.47205,25,25,112.7,94,1.34871
David Leal,OAK,5,4.07276,21,17,112.7,74,1.25111
Jose Butto,,6,4.32769,25,22,112.3,98,1.30009
Lance McCullers Jr.,HOU,8,3.36598,20,20,112.3,121,1.24666
Luis Palacios,MIA,5,4.72841,21,19,112.3,78,1.28228
Tony Gonsolin,LAD,10,3.53571,24,23,112,105,1.16964
Dylan Dodd,ATL,10,4.58036,23,23,112,83,1.375
Kai-Wei Teng,SFG,7,4.82143,23,23,112,111,1.57143
Jared Shuster,ATL,7,4.25893,24,22,112,95,1.32143
Mitch Spence,NYY,6,4.41964,24,21,112,91,1.35714
Jakob Junis,SFG,6,4.33929,25,21,112,99,1.32143
Jack Cushing,OAK,7,4.41964,21,21,112,77,1.38393
Ken Waldichuk,OAK,6,3.78693,25,25,111.7,123,1.27126
Reese Olson,,6,4.18979,24,23,111.7,109,1.32498
Jamison Hill,ARI,6,5.0761,24,22,111.7,86,1.51298
Michael Soroka,ATL,8,3.8675,20,20,111.7,86,1.30707
Luis Ortiz,PIT,5,4.69003,26,25,111.3,100,1.37466
Tucker Davidson,LAA,6,4.69003,23,22,111.3,103,1.43756
Stephen Kolek,SEA,6,5.25606,24,21,111.3,85,1.49146
Braxton Garrett,MIA,5,4.37838,23,22,111,105,1.35135
Casey Lawrence,,7,4.45946,26,20,111,82,1.25225
Grayson Rodriguez,BAL,6,3.98374,26,26,110.7,134,1.15628
Adrian Houser,MIL,7,4.22764,25,22,110.7,81,1.37308
Erick Fedde,,6,5.20325,24,22,110.7,86,1.49051
Trey Supak,OAK,6,4.47154,22,22,110.7,80,1.33695
John Means,BAL,7,3.98374,21,20,110.7,85,1.20145
Adrian Sampson,CHC,5,4.71545,26,20,110.7,76,1.40018
Stephen Strasburg,WSN,7,3.73984,18,18,110.7,109,1.20145
